Client Name,Lobbyist Trading Name
Intelsat Corporation and Intelsat Subsidiary Corporations,Bramex Pty Ltd
InterGen Australia,Colleen Forrester & Associates
Interactive Games & Entertainment Association Ltd,Enhance Corporate
Interactive Gaming Council,Hill & Knowlton
Intergraph,Richardson Coutts Pty Ltd
Interlink Roads,Kreab Gavin Anderson
Interlink Roads Pty Limited,Transurban
International College of Management,Hawker Britton Group
Internet Corporation for Assigned Names and Numbers (ICANN),Hill & Knowlton
Investment and Financial Services Association,Richardson Coutts Pty Ltd
Iplex Pipelines,Repute Communications & Associates Pty Ltd
Iplex Pipelines Australia,Enhance Corporate
Iridium Satellite LLC and Iridium Subsidiary Corporations,Bramex Pty Ltd
JackGreen,Wilkinson Media
Jagermeister,Richardson Coutts Pty Ltd
Janssen-Cilag Pty Ltd,Government Relations Australia Advisory Pty Ltd
Jobfind Centre Australia,Edelman
Jobsupport Inc,Enhance Corporate
Johnston Property Group,Salmon Communications
Joseph Mourched,Herbert Geer
KCI-Medical,David Simmons Corporate Communications
KPMG,RJ Carr Pty Ltd
Kelly Services,Foresight Communications
Kingspan Insulated Panels Pty Ltd,CPR Communications & Public Relations Pty Ltd
Knauf Insulation,Hawker Britton Group
Koppers Australia,Scott & Beaumont Pty Ltd
KordaMentha,John Connolly & Partners
L.E.K. Consulting,Government Relations Australia Advisory Pty Ltd
LIXI Limited,Reputation Pty Ltd
La Vie Developments Pty Limited,Illawarra Regional Development Group
Lance Armstrong Foundation,Parker & Partners Public Affairs
Landcom,NeatCorp Pty Ltd
Landmark Leisure Group Pty Ltd,Enhance Corporate
Larodan Pty Ltd,TJM Consulting
Law Society of NSW,Enhance Corporate
Leading Edge Group,Bluegrass Consulting
Leagues Clubs Australia,CPR Communications & Public Relations Pty Ltd
Leighton Contractors,Kreab Gavin Anderson
Leighton Contractors,shac Communications
Leighton Holdings Ltd,John Connolly & Partners
Leisure Brothers Management Group,Rowland Pty Ltd
Lend Lease,Enhance Corporate
Lend Lease Corporation Limited,Hawker Britton Group
Life Education Australia,Hawker Britton Group
Lifehouse at RPA,Kreab Gavin Anderson
Lindsay Bennelong Developments,Herbert Geer
Linfox,Endeavour Consulting Group Pty Ltd
Linfox Australia Pty Ltd,Forbes Shardlow Pty Ltd
Linfox Pty Ltd,Forbes Shardlow Pty Ltd
Link Communications Corporation Pty Ltd,Bramex Pty Ltd
Lion Nathan,Res Publica Pty Ltd
Lions Australia,Republic Consulting
Live Payments,CPR Communications & Public Relations Pty Ltd
Live Performance Australia,DatelineMedia Group Pty Ltd
Logica Australia Pty Ltd,Hawker Britton Group
Lowy Institute,Scott Taylor Communication
Lucas Property Group,Scott Taylor Communication
Luna Media,Republic Consulting
Luxottica,Sefiani Communications Group
MBIA Inc.,John Connolly & Partners
MBIA Insurance Corporation,Hawker Britton Group
MOSS,Edelman
MTAA Superannuation Fund Pty Ltd,Endeavour Consulting Group Pty Ltd
Macarthur Intermodal Shipping Terminal,John Durst Consulting
Macmahon Contractors,Profile Ray & Berndtson
Macquarie Capital Alliance Group,Macquarie Group Limited
Macquarie Equipment Finance,Statecraft
Macquarie Generation,Colleen Forrester & Associates
Macquarie Group Limited,Hawker Britton Group
Macquarie Group Limited,RJ Carr Pty Ltd
Macquarie Group Limited,Profile Ray & Berndtson
Macquarie Group Ltd,Richardson Coutts Pty Ltd
Macquarie Media Group,Macquarie Group Limited
Macquarie Southern Cross Media Pty Ltd,Macquarie Group Limited
Mallesons Stephen Jaques,RJ Carr Pty Ltd
Manidis Roberts,Profile Ray & Berndtson
Manildra Group,Sciaccas Lawyers and Consultants
Manns Homeworld,CRAKYL Pty Ltd
Maritime Union of Australia,CPR Communications & Public Relations Pty Ltd
Mars,Kreab Gavin Anderson
Martinique Constructions Pty Ltd,Edelman
Master Builders NSW,Wilkinson Media
Matcove Pty Limited,Herbert Geer
Maton Investments Pty Ltd,GR Solutions
Matthew Talbot Hostel,Scott Taylor Communication
Maunsell/ AECOM,Government Relations Australia Advisory Pty Ltd
Mawson Medical Centre,Health Properties Project Marketing
Maximus Resources Ltd,GR Solutions
Maxxia Pty Ltd,Profile Ray & Berndtson
McAfee,Hill & Knowlton
McDonalds Australia,Scott Taylor Communication
McKesson Asia Pacific,Hawker Britton Group
McKinsey and Company,Richardson Coutts Pty Ltd
McMillian Shakespeare,Enhance Corporate
Media Monitors,Hawker Britton Group
"Medical Staff Council, Royal North Shore Hospital",Hawker Britton Group
Medich Property Holdings,Graham Richardson
Mega Uranium Ltd,Endeavour Consulting Group Pty Ltd
Memo Corporation,Hawker Britton Group
Merivale,Hawker Britton Group
Metcash Trading Limited,Profile Ray & Berndtson
Metro Transport Sydney,Hawker Britton Group
Mick Young Scholarship Trust,Foresight Communications
Microbiogen Pty Ltd,Res Publica Pty Ltd
Miller and Associates Insurance and Broking,CPR Communications & Public Relations Pty Ltd
Mincom,AusAccess Pty Ltd
Mincom Limited,Enhance Corporate
Mining Industry Skills Centre,Colleen Forrester & Associates
Minorplanet,Parker & Partners Public Affairs
Minter Ellison Lawyers,LESL Services Pty Limited
Mirabel Foundation,Government Relations Australia Advisory Pty Ltd
Mitsubishi Motors Australia Limited,Government Relations Australia Advisory Pty Ltd
Modern Solar,Wilkinson Media
Mogaz Pty Ltd,Hawker Britton Group
Molonglo Group,Ally Group
Monarch Investment Group of Companies,TJM Consulting
Monash University,Forbes Shardlow Pty Ltd
Mondell Properties,FordComm Consulting Pty Ltd
Morgan and Banks Investments,Hawker Britton Group
Mortgage Choice,Reputation Pty Ltd
Motor Traders’ Association of NSW,Hawker Britton Group
Motorola Australia Pty Ltd,Bramex Pty Ltd
Motorola Australia Pty Ltd,Hawker Britton Group
Muru Mittigar Aboriginal Cultural and Education Centre,Chikarovski & Associates Pty Ltd
Muscle Sprouts,David Sheil
Museum of Contemporary Art,Hawker Britton Group
N/A,Pacific Rim Australasia Pty Ltd
NIB Health Funds Ltd,NeatCorp Pty Ltd
NIDC,Hill & Knowlton
NRMA Motoring and Services,Kreab Gavin Anderson
NSW Bookmaker Co-operative Ltd,Peter Fletcher
NSW Business Chamber,Parker & Partners Public Affairs
NSW Council for Intellectual Disability,Hawker Britton Group
NSW Harness Racing Club,Scott Taylor Communication
NSW Taxi Council,Australian Public Affairs Ltd Partnership
NSW Taxi Industry Association,Australian Public Affairs Ltd Partnership
NatRoad Ltd,Kreab Gavin Anderson
National Association of Obstetricians and Gynaecologists,Forbes Shardlow Pty Ltd
National Ceramic Industries Aust. Pty Ltd,Graham Richardson
National Farmers Federation,David Sheil
National Generators Forum,Colleen Forrester & Associates
National Rugby League,Enhance Corporate
Navitas,Hawker Britton Group
Nestle,Parker & Partners Public Affairs
Nestle,Parker & Partners Public Affairs
New England Trading Pty Ltd,David Simmons Corporate Communications
Newcastle Coal Infrastructure Group,Government Relations Australia Advisory Pty Ltd
Newcastle Infrastructure Group,Margaret Fisher & Associates
Newnes Kaolin Pty Ltd,The Fifth Estate
Newsagents Association of New South Wales (NANA),SR7
Nib,Res Publica Pty Ltd
Nippon Paper Group,Parker & Partners Public Affairs
Nordiko Quarantine Systems Pty Ltd,Endeavour Consulting Group Pty Ltd
North Shore Bridge Club,Touchpoint Australia
North West Transport Hub,Wilkinson Media
Northgate Public Services,Hawker Britton Group
Norwood Park,John Durst Consulting
Novotech,DatelineMedia Group Pty Ltd
Nutricia,Hill & Knowlton
Oceanlinx Limited,Chikarovski & Associates Pty Ltd
Ochre Health,Springboard Australia Pty Ltd
Octapharma Australia Pty Ltd,Carney Associates
Octec Incorporated,David Simmons Corporate Communications
Office Brands,CPR Communications & Public Relations Pty Ltd
Omnilink,Ally Group
One Hundred,CMW Media Pty Ltd
One at a Time Foundation,Edelman
OneSteel,Kreab Gavin Anderson
Ontario Teachers’ Pension Plan Board,Hawker Britton Group
Ooh! Media,Lighthouse Communications Group
Optim Legal,DatelineMedia Group Pty Ltd
Optometrists Association NSW,TJM Consulting
Oracle Australia,Hawker Britton Group
Origin Energy,Parker & Partners Public Affairs
Otto Bock Australia,The Agenda Group NSW
Outback Highway Development Council,Carney Associates
Outdoor Media Association,CPR Communications & Public Relations Pty Ltd
Owston Nominees No. 2 Pty Ltd,Keating Consulting
Oxford Street Pty Ltd,Chikarovski & Associates Pty Ltd
P&O Automotive & General Stevedoring Pty Ltd,Kreab Gavin Anderson
PPB,Profile Ray & Berndtson
Paddington Bowling Club Limited,Enhance Corporate
Park Mobile International (Australia) Pty Ltd,Chikarovski & Associates Pty Ltd
Parking Operators Association,Primary Communication
Parnell,CPR Communications & Public Relations Pty Ltd
Patrick,Richardson Coutts Pty Ltd
Payce Developments Ltd,Margaret Fisher & Associates
Peabody Energy Australia,Government Relations Australia Advisory Pty Ltd
Peach Advertising Pty Ltd,Hawker Britton Group
Pearl Consortium,MacGregor Public Relations
Peet Alkinios Pty Ltd,Endeavour Consulting Group Pty Ltd
Perfectflow Technology Pty Ltd,Enhance Corporate
Perilya Pty Ltd,Doyle Cunningham & Associates
Pet Industry Association of Australia,Kreab Gavin Anderson
Peter Davies,Illawarra Regional Development Group
Philips,Reputation Pty Ltd
Philon,Health Properties Project Marketing
Plenary Group,Richardson Coutts Pty Ltd
Police Association NSW,Essential Media Communications
Polycom Australia,AusAccess Pty Ltd
Port Kembla Copper Pty Ltd,The Fifth Estate
Port Waratah Coal Services,Repute Communications & Associates Pty Ltd
Power Group of Companies,Government Relations Australia Advisory Pty Ltd
Power Tools Association of Australasia,The Fifth Estate
Pratt Holdings Pty Ltd,The Fifth Estate
Precision Group of Companies Pty Ltd,Hawker Britton Group
Presbyterian Church of NSW,Health Properties Project Marketing
Presfloat Pty Limited,Herbert Geer
PriceWaterhouse Coopers,Hawker Britton Group
Prince of Wales Medical Research Institute,Lighthouse Communications Group
Promethean Ltd,AusAccess Pty Ltd
Prospect Aquatic Investments,Cosway Australia
Prospect Aquatic Investments Pty Ltd,Herbert Geer
Public Services Association,Essential Media Communications
QHGP Pty Ltd,TITFA Consultancy Pty Ltd
QMDC,Clean Waters Model
QR Limited,Hawker Britton Group
Qenos,Enhance Corporate
Qualcomm,Burson-Marsteller
Quantum Multimedia Communications Pty Ltd,Bramex Pty Ltd
Queensland Investment Corporation,John Connolly & Partners
Queensland University of Technology,AusAccess Pty Ltd
R.M. Constructions Pty Ltd,Graham Richardson
RAMROC,Endeavour Consulting Group Pty Ltd
RBS Australia Pty Ltd,Government Relations Australia Advisory Pty Ltd
REH,David Utting Communications
RYDA,Primary Communication
Rail Tram and Bus Union,Essential Media Communications
Ramsay Holdings,Kreab Gavin Anderson
Ramsay Property Group,Scott Taylor Communication
Ready Trace Inc,Clough Consulting Services Pty Ltd
Reconciliation Australia,CPR Communications & Public Relations Pty Ltd
Recoveries and Reconstruction (Australia),LESL Services Pty Limited
Recruitment and Consulting Services Organisation,AusAccess Pty Ltd
Redback Conferencing Pty Ltd,Chikarovski & Associates Pty Ltd
Reed in Partnership,Reputation Pty Ltd
Regis Aged Care Pty Ltd,Macquarie Group Limited
Relationships Forum Australia,The Fifth Estate
Reliance Rail,Statecraft
Res Australia Pty Ltd,Chikarovski & Associates Pty Ltd
Resume Partners,Elthos Consulting
Riko Tinto Australia Pty Ltd (Coal and Allied),Endeavour Consulting Group Pty Ltd
Rio Tinto,Repute Communications & Associates Pty Ltd
Rio Tinto Ltd,Endeavour Consulting Group Pty Ltd
Rivcogroup,John Durst Consulting
Rivercorp Pty Ltd,Government Relations Australia Advisory Pty Ltd
Rockdale City Council,Enhance Corporate
Rose Group,FordComm Consulting Pty Ltd
Rosemount Pty Ltd,Illawarra Regional Development Group
Royal Caribbean Cruises Australia Pty Limited,FIPRA Australia
"Royal Caribbean Cruises Limited, Miami USA",FIPRA Australia
Royal Caribbean Line Australia,Richardson Coutts Pty Ltd
Royal North Shore Hospital Medical Staff Council,Sheryl Taylor Communications
Royal Rehabilitation Centre Sydney,Cato Counsel
Royal Sans Group,Herbert Geer
SAF Property Group,Repute Communications & Associates Pty Ltd
SITA Environmental Solutions,CPR Communications & Public Relations Pty Ltd
SPG Investments,Hawker Britton Group
SPM,Hawker Britton Group
STW Group,Parker & Partners Public Affairs
Sada Services Pty Ltd,Michael Brown Planning Strategies
Salesforce.com,Hawker Britton Group
Samsung Techwin,AusAccess Pty Ltd
Sandy Shores Developments Pty Ltd,Peter Anderson & Co Pty Ltd
Santos,Kreab Gavin Anderson
Scheidt & Bachmann/TMA,Hawker Britton Group
Scouts Australia,CPR Communications & Public Relations Pty Ltd
Seapower Pacific,David Utting Communications
Sebel Furniture,CPR Communications & Public Relations Pty Ltd
Secure Parking,Primary Communication
Securities and Derivatives Industry Association,CPR Communications & Public Relations Pty Ltd
Serco Group Pty Ltd,Government Relations Australia Advisory Pty Ltd
Seven Network,Endeavour Consulting Group Pty Ltd
Sharpe Brothers,MacGregor Public Relations
Shopfront Theatre,Primary Communication
Shopping Centre Council of Australia,Endeavour Consulting Group Pty Ltd
Sikorsky Aircraft Corporation,Foresight Communications
Silcar,John Connolly & Partners
SingTel Optus,Richardson Coutts Pty Ltd
SingTel Optus,CPR Communications & Public Relations Pty Ltd
Singapore Pools (Private) Limited,Government Relations Australia Advisory Pty Ltd
Slattery Auctions,FordComm Consulting Pty Ltd
Social Enterprises Sydney Working Group,Hawker Britton Group
Solarfarm,CPR Communications & Public Relations Pty Ltd
Solarsailor,Hawker Britton Group
South Australian Native Title Services Ltd,GR Solutions
Southern Cross University,CPR Communications & Public Relations Pty Ltd
Spark Solar Australia,Hawker Britton Group
Sparke Helmore Lawyers,CPR Communications & Public Relations Pty Ltd
Special Olympics Australia,Sefiani Communications Group
Speciality Fashion Group,Hawker Britton Group
Spotless,Richardson Coutts Pty Ltd
St Vincent De Paul Society NSW/ACT,FT Communications
St Vincent de Paul NSW,Scott Taylor Communication
St Vincent de Paul Society,Margaret Fisher & Associates
Standard & Poors,Edelman
Standards Australia,Salmon Communications
Standards Australia Limited,Clamshred
Stanford Land Pty Ltd,TITFA Consultancy Pty Ltd
Starfish Venture Capital,DatelineMedia Group Pty Ltd
Statewide Roads,Kreab Gavin Anderson
Stella Travel Services,Republic Consulting
Strand Estates Pty Ltd,Margaret Fisher & Associates
Sun Microsystems,AusAccess Pty Ltd
Suncorp,Jackson Wells Pty Ltd
Suncorp Life,shac Communications
SuperAlphaFund Financial Pty Ltd,OneProfile Communications Pty Ltd
Surf Life Saving NSW,Enhance Corporate
Svitzer Salvage,Repute Communications & Associates Pty Ltd
Svitzer Towage,Repute Communications & Associates Pty Ltd
Swire Shipping,Hill & Knowlton
Sydney Eisteddfod,CPR Communications & Public Relations Pty Ltd
Sydney Lifestyle Taskforce,Hawker Britton Group
Sydney Marina Contracting,CPR Communications & Public Relations Pty Ltd
Sydney Opera House,Kreab Gavin Anderson
Sydney Opera House Trust,Hawker Britton Group
Sydney Ski Dome Limited,Health Properties Project Marketing
Sydney Turf Club,CMW Media Pty Ltd
TAFE Directors Australia,Foresight Communications
TECC Ltd,AusAccess Pty Ltd
TRN Pty Ltd,Michael Brown Planning Strategies
Tabcorp,Hawker Britton Group
Tabcorp,CMW Media Pty Ltd
Talent2 International Limited,LESL Services Pty Limited
Tandou Limited,The Fifth Estate
Taxation Institute of Australia,Lighthouse Communications Group
Technical Real Estate,Endeavour Consulting Group Pty Ltd
Telstra,Hawker Britton Group
Tenix Alliance,Profile Ray & Berndtson
Tenix Group,Cox Inall Communications Pty Ltd
Tenix Group Pty Ltd,Belman Consulting Pty Ltd
Tenix Solutions,CPR Communications & Public Relations Pty Ltd
Terranora Group Management Pty Ltd,Hawker Britton Group
Thales,Bluegrass Consulting
Thales Australia,Profile Ray & Berndtson
Thales Australia,Richardson Coutts Pty Ltd
The Australian Chamber of Fruit and Vegetable Wholesalers Ltd.,John Durst Consulting
The Australian Hotels Association,Touchpoint Australia
The Australian Private Equity and Venture Capital Association,Res Publica Pty Ltd
The Benevolent Society,Cato Counsel
The Big Issue in Australia Limited,Hawker Britton Group
The Brains Trust,Lighthouse Communications Group
The Crane Group,Cato Counsel
The Finance Sector Union,Essential Media Communications
The GEO Group Australia Pty Ltd,Hawker Britton Group
The GPT Group,NeatCorp Pty Ltd
The George Institute for International Health,Hawker Britton Group
The Hackett Group,Hawker Britton Group
The Meridian International School Pty Ltd,Government Relations Australia Advisory Pty Ltd
The Murray Darling Association,David Sheil
The NSW Harness Racing Club,FT Communications
The Nuance Group,CPR Communications & Public Relations Pty Ltd
The Original Casablanca Fan Company,Sciaccas Lawyers and Consultants
The Plenary Group,Res Publica Pty Ltd
The RIV Group Pty Ltd,Government Relations Australia Advisory Pty Ltd
The Shell Company of Australia Ltd,Endeavour Consulting Group Pty Ltd
The Spastic Centre,Hawker Britton Group
The Stevens Group,Scott Taylor Communication
The Stevens Group,FT Communications
The Village Building Co.,Hawker Britton Group
The Water and Carbon Group,Government Relations Australia Advisory Pty Ltd
The Wilderness Society,Essential Media Communications
Thiess Pty Ltd,Government Relations Australia Advisory Pty Ltd
Tomago Aluminium Company Pty Ltd,Endeavour Consulting Group Pty Ltd
Toro Australia Pty Ltd,David Sheil
Toronto RSL Club,Health Properties Project Marketing
Track Australia,CPR Communications & Public Relations Pty Ltd
Transdev-TSL,Hawker Britton Group
Transnational Investments,Scott Taylor Communication
Travel Compensation Fund,Wilkinson Media
Travelscene,Republic Consulting
Tri Epsilon Group,Graham Richardson
Tri Epsilon Pty Ltd,Chikarovski & Associates Pty Ltd
Truenergy,The Agenda Group NSW
Tuggeranong Investments Pty Ltd,Herbert Geer
UNSW Global,Hawker Britton Group
Unilever Australasia,Res Publica Pty Ltd
Union Fenosa Wind Australia,CPR Communications & Public Relations Pty Ltd
Unions NSW,Essential Media Communications
Unique Global Possibilities (AUS) Pty Ltd,Hawker Britton Group
United Group Ltd,Enhance Corporate
United Services Union,Essential Media Communications
University of Canberra,Endeavour Consulting Group Pty Ltd
University of Melbourne,Forbes Shardlow Pty Ltd
University of NSW,Hawker Britton Group
University of Technology Sydney,Government Relations Australia Advisory Pty Ltd
University of Western Australia,Carney Associates
Unwired,Endeavour Consulting Group Pty Ltd
Upper Hunter Progress Association,Enhance Corporate
Upper Lachlan Shire Council,Herbert Geer
Ure Chan Group,Endeavour Consulting Group Pty Ltd
Variety Club,Enhance Corporate
Veda Advantage,Richardson Coutts Pty Ltd
Ventracor Limited,Endeavour Consulting Group Pty Ltd
Veolia,Edelman
Veolia,Parker & Partners Public Affairs
Veolia,Kreab Gavin Anderson
Veolia Environmental Services Australia Pty Ltd,The Fifth Estate
Vertel,Foresight Communications
Village Building Company,Endeavour Consulting Group Pty Ltd
Vinyl Council Australia,Enhance Corporate
Visy Pty Ltd,The Fifth Estate
"Viterra, Inc.",Edelman
Vivas Lend Lease,CPR Communications & Public Relations Pty Ltd
Volgren Australia,Hawker Britton Group
WBHO Probuild,Government Relations Australia Advisory Pty Ltd
WPP plc,Parker & Partners Public Affairs
WSN,Richardson Coutts Pty Ltd
WSN Environmental Services,Michael Brown Planning Strategies
Walker Group,Graham Richardson
Warner Brothers,Jackson Wells Pty Ltd
Warringah Gravel and Stone Supplies Pty Ltd,Herbert Geer
Waste Management Association of Australia,Parker & Partners Public Affairs
Water Services Association of Australia,CPR Communications & Public Relations Pty Ltd
Water for Rivers,Kreab Gavin Anderson
Waterbrook County Pty Ltd,Repute Communications & Associates Pty Ltd
Waterbrook Lifestyle Resorts,Repute Communications & Associates Pty Ltd
Wesley Mission,CMW Media Pty Ltd
West Side Corporation,Keating Consulting
Western Plains Resources,Herbert Geer
Westpac Banking Corporation,Endeavour Consulting Group Pty Ltd
Westpac Institutional Bank,Endeavour Consulting Group Pty Ltd
White Ribbon Foundation of Australia,CPR Communications & Public Relations Pty Ltd
Whole Earth Sweetener Company LLC,Edelman
Willmott Forests,CMW Media Pty Ltd
Willmott Forests Limited,The Fifth Estate
Willmott Timbers,The Fifth Estate
Willow Pharmaceuticals,Ogilvy PR Health
Woollahra Council,Richardson Coutts Pty Ltd
Wooyoung,Hawker Britton Group
Worley Parsons Limited,Open Door Consulting
WorleyParsons,Fowlstone Communications
Wyee Development Fund,CPR Communications & Public Relations Pty Ltd
Wyong Coal Pty Ltd,Peter Anderson & Co Pty Ltd
Wyong Shire Council,Saunders-McDermott C